
| 77296          | 104480          | 7         | 00:47:33   | 00:47:34  | 0:00:00.972487 |
| 77296          | 104480          | 7         | 08:35:01   | 08:35:02  | 0:00:00.924858 |
| 77296          | 104480          | 7         | 08:37:00   | 08:37:01  | 0:00:00.739551 |
| 77296          | 104480          | 7         | 08:38:39   | 08:38:40  | 0:00:01.009424 |
| 77296          | 104480          | 7         | 12:14:35   | 12:14:37  | 0:00:01.500461 |
| 77296          | 104480          | 7         | 12:18:39   | 12:18:40  | 0:00:01.133480 |
| 77296          | 104480          | 7         | 13:06:05   | 13:06:07  | 0:00:01.737976 |
| 77296          | 104480          | 7         | 13:08:08   | 13:08:09  | 0:00:01.322622 |
| 77296          | 104480          | 7         | 13:24:32   | 13:24:32  | 0:00:00.752616 |
| 31064          | 42016          | 7         | 13:30:20   | 13:30:22  | 0:00:02.175542 |
| 31064          | 42016          | 7         | 13:30:57   | 13:30:59  | 0:00:02.058355 |
| 31064          | 42016          | 7         | 13:35:44   | 13:35:47  | 0:00:02.637780 |
| 31064          | 42016          | 7         | 13:42:36   | 13:42:37  | 0:00:00.939462 |
| 31064          | 42016          | 7         | 13:44:04   | 13:44:06  | 0:00:01.857694 |
| 31064          | 42016          | 7         | 06:33:54   | 06:33:57  | 0:00:03.489534 |
| 31064          | 42016          | 7         | 06:50:26   | 06:50:29  | 0:00:03.035421 |
| 31064          | 42016          | 7         | 06:50:53   | 06:50:54  | 0:00:01.004286 |
| 31064          | 42016          | 7         | 06:51:58   | 06:52:00  | 0:00:01.572904 |
| 31064          | 42016          | 7         | 06:52:24   | 06:52:25  | 0:00:01.541775 |
| 31064          | 42016          | 7         | 07:01:54   | 07:01:55  | 0:00:01.129885 |
| 31064          | 42016          | 7         | 07:06:52   | 07:06:53  | 0:00:00.889986 |
| 31064          | 42016          | 7         | 07:28:31   | 07:28:34  | 0:00:03.097888 |
| 31064          | 42016          | 7         | 07:29:35   | 07:29:37  | 0:00:01.692078 |
| 20272          | 27680          | 7         | 07:34:59   | 07:34:59  | 0:00:00.884112 |
| 31064          | 42016          | 7         | 07:37:49   | 07:37:57  | 0:00:07.258355 |
| 31064          | 42016          | 7         | 07:38:29   | 07:38:30  | 0:00:01.023924 |
| 31064          | 42016          | 7         | 07:39:25   | 07:39:26  | 0:00:00.540244 |
